Comment,Designator,Footprint,LCSC,Quantity
100n,C5,C_0402_1005Metric,C1525,1
10k,"R1,R4,R7,R8",R_0402_1005Metric,C25744,4
10u,C3,C_0603_1608Metric,C19702,1
1u,"C1,C2,C4",C_0402_1005Metric,C52923,3
22,"R5,R6",R_0402_1005Metric,C25092,2
220,"R10,R9",R_0402_1005Metric,C25091,2
5.1k,"R2,R3",R_0402_1005Metric,C25905,2
AP2112K-3.3,U2,SOT-23-5,C51118,1
D_Schottky,"D1,D2",D_SOD-123,C8598,2
ESP32-C6-WROOM-1,U3,ESP32-C6-WROOM-1,C5366877,1
LED,D3,LED_0603_1608Metric,C2286,1
SP3485EN,U1,SOIC-8_3.9x4.9mm_P1.27mm,C8963,1
SW_Push,"SW1,SW2",SW-SMD_L3.9-W3.0-P4.45,C720477,2
TXS0102DCT,U4,SSOP-8_2.95x2.8mm_P0.65mm,C324082,1
USB_A,J1,USB-A-TH_U-G-04WD-W-01,C98125,1
USB_C_Receptacle_USB2.0_14P,J2,USB-C_SMD-TYPE-C-31-M-12_1,C165948,1
