Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1u,C_0402_1005Metric,131.25,-115.75,0.0,top
C2,1u,C_0402_1005Metric,131.0,-110.5,0.0,top
C3,10u,C_0603_1608Metric,127.0,-99.25,0.0,top
C4,1u,C_0402_1005Metric,128.5,-107.5,0.0,top
C5,100n,C_0402_1005Metric,123.75,-109.75,180.0,top
D1,D_Schottky,D_SOD-123,128.5,-111.5,-90.0,top
D2,D_Schottky,D_SOD-123,124.25,-108.0,180.0,top
D3,LED,LED_0603_1608Metric,132.25,-118.0,-90.0,top
J1,USB_A,USB-A-TH_U-G-04WD-W-01,123.5,-116.14125,0.0,top
J2,USB_C_Receptacle_USB2.0_14P,USB-C_SMD-TYPE-C-31-M-12_1,118.505,-103.3,-90.0,top
R1,10k,R_0402_1005Metric,116.0,-114.5,180.0,top
R10,220,R_0402_1005Metric,129.75,-99.5,-90.0,top
R2,5.1k,R_0402_1005Metric,123.0,-102.0,0.0,top
R3,5.1k,R_0402_1005Metric,123.0,-105.0,0.0,top
R4,10k,R_0402_1005Metric,124.5,-99.5,-90.0,top
R5,22,R_0402_1005Metric,123.5,-99.5,90.0,top
R6,22,R_0402_1005Metric,122.5,-99.5,90.0,top
R7,10k,R_0402_1005Metric,125.25,-104.76,90.0,top
R8,10k,R_0402_1005Metric,125.25,-102.75,-90.0,top
R9,220,R_0402_1005Metric,130.75,-99.5,90.0,top
SW1,SW_Push,SW-SMD_L3.9-W3.0-P4.45,128.75,-105.25,180.0,top
SW2,SW_Push,SW-SMD_L3.9-W3.0-P4.45,128.75,-102.0,180.0,top
U1,SP3485EN,SOIC-8_3.9x4.9mm_P1.27mm,117.5,-111.0,270.0,top
U2,AP2112K-3.3,SOT-23-5,131.55,-113.0725,0.0,top
U3,ESP32-C6-WROOM-1,ESP32-C6-WROOM-1,123.5,-87.785,0.0,top
U4,TXS0102DCT,SSOP-8_2.95x2.8mm_P0.65mm,124.5,-112.0,270.0,top
